perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration
AKT1-1	AKT1	-0.05780885115515379	HCC44	cutting_control	pearson	0
AKT1-2	AKT1	-0.10481380190383854	HCC44	cutting_control	pearson	0
ARID1B-1	ARID1B	0.08438265855833836	HCC44	cutting_control	pearson	0
ARID1B-2	ARID1B	-0.09701319324616839	HCC44	cutting_control	pearson	0
ATF4-1	ATF4	0.27236967187625516	HCC44	cutting_control	pearson	0
ATF4-2	ATF4	0.3170511014806119	HCC44	cutting_control	pearson	0
ATP50-1	ATP50	-0.21902178516928322	HCC44	cutting_control	pearson	0
ATP50-2	ATP50	-0.13121724779391944	HCC44	cutting_control	pearson	0
AURKB-2	AURKB		HCC44	cutting_control	pearson	0
BCL2-1	BCL2	0.09811003716663243	HCC44	cutting_control	pearson	0
BCL2-2	BCL2	0.2480012661237586	HCC44	cutting_control	pearson	0
BCL2L2-1	BCL2L2	0.1667893490549846	HCC44	cutting_control	pearson	0
BCL2L2-2	BCL2L2	0.2086182435884161	HCC44	cutting_control	pearson	0
BCL2L2-4	BCL2L2	0.276733346251971	HCC44	cutting_control	pearson	0
BRAF-2	BRAF		HCC44	cutting_control	pearson	0
BRAF1-1	BRAF1		HCC44	cutting_control	pearson	0
BRCA1-1	BRCA1	-0.07245318555020795	HCC44	cutting_control	pearson	0
BRCA1-2	BRCA1	-0.11598872494853499	HCC44	cutting_control	pearson	0
BRD4-1	BRD4	-0.13020896807045002	HCC44	cutting_control	pearson	0
BRD4-2	BRD4	0.11810967448022873	HCC44	cutting_control	pearson	0
CCND1-1	CCND1	-0.1608594864131892	HCC44	cutting_control	pearson	0
CCND1-2	CCND1	-0.163945138255613	HCC44	cutting_control	pearson	0
CCNE1-1	CCNE1	-0.04581736732531469	HCC44	cutting_control	pearson	0
CCNE1-2	CCNE1	0.11861244159650981	HCC44	cutting_control	pearson	0
CDK2-1	CDK2	0.24456579917980376	HCC44	cutting_control	pearson	0
CDK2-2	CDK2	0.06106308092551381	HCC44	cutting_control	pearson	0
CDK4-1	CDK4	0.10267018791067486	HCC44	cutting_control	pearson	0
CDK4-2	CDK4	0.21173297171774072	HCC44	cutting_control	pearson	0
CDK4-3	CDK4	0.1498095308296755	HCC44	cutting_control	pearson	0
CHEK2-1	CHEK2	0.2605880235462178	HCC44	cutting_control	pearson	0
CHEK2-2	CHEK2	0.03342883043285044	HCC44	cutting_control	pearson	0
COX5B-1	COX5B	-0.07208407643592268	HCC44	cutting_control	pearson	0
COX5B-2	COX5B	-0.0452060331311099	HCC44	cutting_control	pearson	0
CSNK1A1-1	CSNK1A1	-0.0503439995656385	HCC44	cutting_control	pearson	0
CSNK1A1-2	CSNK1A1	0.021459658746429147	HCC44	cutting_control	pearson	0
CTNNB1-1	CTNNB1	-0.060202373219529676	HCC44	cutting_control	pearson	0
CTNNB1-2	CTNNB1	0.1979674313675751	HCC44	cutting_control	pearson	0
Chr2-1	Chr2	-0.005920984814209006	HCC44	cutting_control	pearson	0
Chr2-2	Chr2	0.006854344127407895	HCC44	cutting_control	pearson	0
Chr2-3	Chr2	-0.03779780776402946	HCC44	cutting_control	pearson	0
Chr2-4	Chr2	0.006760291187930265	HCC44	cutting_control	pearson	0
Chr2-5	Chr2	-0.0033811527632476583	HCC44	cutting_control	pearson	0
Chr2-6	Chr2	0.013610419557809774	HCC44	cutting_control	pearson	0
DOT1L-1	DOT1L	0.1322832637740897	HCC44	cutting_control	pearson	0
DOT1L-2	DOT1L	0.13597917437506243	HCC44	cutting_control	pearson	0
EGFR-1	EGFR	0.24699475377553506	HCC44	cutting_control	pearson	0
EGFR-2	EGFR	0.18981691815774418	HCC44	cutting_control	pearson	0
EGLN1-8	EGLN1	0.25498699007088454	HCC44	cutting_control	pearson	0
EGLN1-9	EGLN1	-0.042938703610938406	HCC44	cutting_control	pearson	0
EMPTY	EMPTY		HCC44	cutting_control	pearson	0
ERBB2-1	ERBB2	0.08111880730856427	HCC44	cutting_control	pearson	0
ERBB2-2	ERBB2	0.17063264460701397	HCC44	cutting_control	pearson	0
ERBB3-1	ERBB3	0.003911157532958432	HCC44	cutting_control	pearson	0
ERBB3-2	ERBB3	-0.2516826762566413	HCC44	cutting_control	pearson	0
EZH2-1	EZH2	0.22831967777717813	HCC44	cutting_control	pearson	0
EZH2-2	EZH2	0.1387530573566672	HCC44	cutting_control	pearson	0
GLS-1	GLS	-0.18736864448311302	HCC44	cutting_control	pearson	0
GLS-2	GLS	0.10590833770535914	HCC44	cutting_control	pearson	0
GPX4-1	GPX4	0.08429554804309497	HCC44	cutting_control	pearson	0
GPX4-2	GPX4	0.09203086806290256	HCC44	cutting_control	pearson	0
HIF1a-1	HIF1a	0.14397603896506725	HCC44	cutting_control	pearson	0
HIF1a-2	HIF1a	0.21773620618645184	HCC44	cutting_control	pearson	0
ITGAV-1	ITGAV	-0.28743293958238636	HCC44	cutting_control	pearson	0
ITGAV-2	ITGAV	-0.09079005143823488	HCC44	cutting_control	pearson	0
JAK3-1	JAK3	0.041315246517863474	HCC44	cutting_control	pearson	0
JAK3-2	JAK3	0.222472392747325	HCC44	cutting_control	pearson	0
KIF11-1	KIF11	0.07936462624890402	HCC44	cutting_control	pearson	0
KIF11-2	KIF11	0.006444119886698945	HCC44	cutting_control	pearson	0
KRAS-1	KRAS	-0.13828600414754516	HCC44	cutting_control	pearson	0
KRAS-2A	KRAS	0.07926042940564851	HCC44	cutting_control	pearson	0
KRAS-2B	KRAS	-0.12217141816319292	HCC44	cutting_control	pearson	0
LacZ-2	LacZ	-0.12406630540103301	HCC44	cutting_control	pearson	0
LacZ-3	LacZ	-0.037241587524989406	HCC44	cutting_control	pearson	0
Luc-1	Luc	-0.097870187512254	HCC44	cutting_control	pearson	0
Luc-2	Luc	-0.020135928197895885	HCC44	cutting_control	pearson	0
MAPK1-1	MAPK1	-0.05926028624571579	HCC44	cutting_control	pearson	0
MAPK1-2	MAPK1	0.13053496446457644	HCC44	cutting_control	pearson	0
MCL1-2	MCL1	-0.06348646132022844	HCC44	cutting_control	pearson	0
MCL1-5	MCL1	-0.051660324659730174	HCC44	cutting_control	pearson	0
MTOR-1	MTOR	-0.12100804567846067	HCC44	cutting_control	pearson	0
MTOR-2	MTOR	-0.05938883917753262	HCC44	cutting_control	pearson	0
MYC-1	MYC	-0.21020719778980326	HCC44	cutting_control	pearson	0
MYC-2	MYC	-0.08250973117102597	HCC44	cutting_control	pearson	0
ORC4-1	ORC4	0.023183152945184398	HCC44	cutting_control	pearson	0
ORC4-2	ORC4	0.04295904421829064	HCC44	cutting_control	pearson	0
PIK3CA-1	PIK3CA	0.2796786567797874	HCC44	cutting_control	pearson	0
PIK3CA-2	PIK3CA	0.20313384626258216	HCC44	cutting_control	pearson	0
POLR2D-1	POLR2D	0.05752723262415439	HCC44	cutting_control	pearson	0
POLR2D-2	POLR2D	-0.01491883569935265	HCC44	cutting_control	pearson	0
PPIB-1	PPIB	-0.1259880088581894	HCC44	cutting_control	pearson	0
PPIB-2	PPIB	-0.053730017937004465	HCC44	cutting_control	pearson	0
PRDX1-1	PRDX1	0.26357722830843305	HCC44	cutting_control	pearson	0
PRDX1-2	PRDX1	0.22957437265136763	HCC44	cutting_control	pearson	0
PSMA1-1	PSMA1	-0.02079103182937123	HCC44	cutting_control	pearson	0
PSMA1-2	PSMA1	0.013919990797614147	HCC44	cutting_control	pearson	0
PTK2-1	PTK2	0.03987653512456603	HCC44	cutting_control	pearson	0
PTK2-2	PTK2	0.07463402070790122	HCC44	cutting_control	pearson	0
RAC1-1	RAC1	-0.10742052682704223	HCC44	cutting_control	pearson	0
RAC1-2	RAC1	-0.1305281164696923	HCC44	cutting_control	pearson	0
RAF1-1	RAF1	0.0379032417616709	HCC44	cutting_control	pearson	0
RAF1-2	RAF1	0.07862207603475233	HCC44	cutting_control	pearson	0
RHOA-1	RHOA	-0.17226385858666274	HCC44	cutting_control	pearson	0
RHOA-2	RHOA	-0.2755332143943108	HCC44	cutting_control	pearson	0
SDHB-1	SDHB	0.3523955301913311	HCC44	cutting_control	pearson	0
SDHB-2	SDHB	0.05773096860363087	HCC44	cutting_control	pearson	0
SLC2A1-1	SLC2A1		HCC44	cutting_control	pearson	0
SLC2A2-2	SLC2A2		HCC44	cutting_control	pearson	0
SMARCB1-1	SMARCB1	0.39291051679256156	HCC44	cutting_control	pearson	0
SMARCB1-2	SMARCB1	0.5824839178646424	HCC44	cutting_control	pearson	0
STAT3-1	STAT3	-0.12475740527796234	HCC44	cutting_control	pearson	0
STAT3-2	STAT3	0.0663772802101475	HCC44	cutting_control	pearson	0
SUZ12-1	SUZ12	0.15464424425087117	HCC44	cutting_control	pearson	0
SUZ12-2	SUZ12	0.10771892939137323	HCC44	cutting_control	pearson	0
TXN-1	TXN	-0.17711489339180053	HCC44	cutting_control	pearson	0
TXN-2	TXN	-0.19194340353501868	HCC44	cutting_control	pearson	0
XBP-1	XBP	0.05884791574063546	HCC44	cutting_control	pearson	0
XBP-2	XBP	0.2819189756018111	HCC44	cutting_control	pearson	0
YAP1-1	YAP1	0.10584823306791448	HCC44	cutting_control	pearson	0
YAP1-2	YAP1	0.1197197859439069	HCC44	cutting_control	pearson	0
AKT1-1	AKT1	-0.1842604146466443	A549	cutting_control	pearson	0
AKT1-2	AKT1	-0.19672691396336833	A549	cutting_control	pearson	0
ARID1B-1	ARID1B	0.05334200037379163	A549	cutting_control	pearson	0
ARID1B-2	ARID1B	-0.04885147973628009	A549	cutting_control	pearson	0
ATF4-1	ATF4	-0.2249286314130068	A549	cutting_control	pearson	0
ATF4-2	ATF4	0.15261402646449687	A549	cutting_control	pearson	0
ATP50-1	ATP50	0.056151086812607574	A549	cutting_control	pearson	0
ATP50-2	ATP50	0.14158690124907047	A549	cutting_control	pearson	0
AURKB-2	AURKB		A549	cutting_control	pearson	0
BCL2-1	BCL2	0.09155029735795833	A549	cutting_control	pearson	0
