perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration	num_controls
AKT1-1	AKT1	0.8674349077156669	HCC44	perturbation_control	pearson	0	168
AKT1-2	AKT1	0.902653207470749	HCC44	perturbation_control	pearson	0	168
ARID1B-1	ARID1B	0.7022784035113655	HCC44	perturbation_control	pearson	0	168
ARID1B-2	ARID1B	0.6367334519731794	HCC44	perturbation_control	pearson	0	168
ATF4-1	ATF4	0.6127341079786359	HCC44	perturbation_control	pearson	0	168
ATF4-2	ATF4	0.7608193214020792	HCC44	perturbation_control	pearson	0	168
ATP50-1	ATP50	1.4534364908508195	HCC44	perturbation_control	pearson	0	168
ATP50-2	ATP50	1.2544062080466039	HCC44	perturbation_control	pearson	0	168
AURKB-2	AURKB		HCC44	perturbation_control	pearson	0	168
BCL2-1	BCL2	0.8154085266897709	HCC44	perturbation_control	pearson	0	168
BCL2-2	BCL2	0.7648350876638716	HCC44	perturbation_control	pearson	0	168
BCL2L2-1	BCL2L2	0.332096295273698	HCC44	perturbation_control	pearson	0	168
BCL2L2-2	BCL2L2	0.19846559867167005	HCC44	perturbation_control	pearson	0	168
BCL2L2-4	BCL2L2	0.480131676974487	HCC44	perturbation_control	pearson	0	168
BRAF-2	BRAF		HCC44	perturbation_control	pearson	0	168
BRAF1-1	BRAF1		HCC44	perturbation_control	pearson	0	168
BRCA1-1	BRCA1	0.8614797293879838	HCC44	perturbation_control	pearson	0	168
BRCA1-2	BRCA1	0.891265952683586	HCC44	perturbation_control	pearson	0	168
BRD4-1	BRD4	2.6256612438284126	HCC44	perturbation_control	pearson	0	168
BRD4-2	BRD4	1.9628036706747392	HCC44	perturbation_control	pearson	0	168
CCND1-1	CCND1	0.7434798579759866	HCC44	perturbation_control	pearson	0	168
CCND1-2	CCND1	0.654151539411635	HCC44	perturbation_control	pearson	0	168
CCNE1-1	CCNE1	1.9372437347924034	HCC44	perturbation_control	pearson	0	168
CCNE1-2	CCNE1	1.7317310781419293	HCC44	perturbation_control	pearson	0	168
CDK2-1	CDK2	2.4836623504724775	HCC44	perturbation_control	pearson	0	168
CDK2-2	CDK2	2.2352881149635313	HCC44	perturbation_control	pearson	0	168
CDK4-1	CDK4	1.2023193669308898	HCC44	perturbation_control	pearson	0	168
CDK4-2	CDK4	1.085929454377235	HCC44	perturbation_control	pearson	0	168
CDK4-3	CDK4	0.8640682338462522	HCC44	perturbation_control	pearson	0	168
CHEK2-1	CHEK2	0.30434317602748734	HCC44	perturbation_control	pearson	0	168
CHEK2-2	CHEK2	0.41414726324560014	HCC44	perturbation_control	pearson	0	168
COX5B-1	COX5B	0.7843330573532735	HCC44	perturbation_control	pearson	0	168
COX5B-2	COX5B	0.7622095089892137	HCC44	perturbation_control	pearson	0	168
CSNK1A1-1	CSNK1A1	1.951083100618035	HCC44	perturbation_control	pearson	0	168
CSNK1A1-2	CSNK1A1	1.5830062868661687	HCC44	perturbation_control	pearson	0	168
CTNNB1-1	CTNNB1	0.019830224172559623	HCC44	perturbation_control	pearson	0	168
CTNNB1-2	CTNNB1	0.007265619898510394	HCC44	perturbation_control	pearson	0	168
Chr2-1	Chr2	0.5731576291485996	HCC44	perturbation_control	pearson	0	168
Chr2-2	Chr2	0.3744005008036141	HCC44	perturbation_control	pearson	0	168
Chr2-3	Chr2	0.727814542054678	HCC44	perturbation_control	pearson	0	168
Chr2-4	Chr2	0.134739967259994	HCC44	perturbation_control	pearson	0	168
Chr2-5	Chr2	0.6107075047455549	HCC44	perturbation_control	pearson	0	168
Chr2-6	Chr2	0.7461777607980629	HCC44	perturbation_control	pearson	0	168
DOT1L-1	DOT1L	0.9148173603476984	HCC44	perturbation_control	pearson	0	168
DOT1L-2	DOT1L	0.948777841406004	HCC44	perturbation_control	pearson	0	168
EGFR-1	EGFR	0.31365099466378765	HCC44	perturbation_control	pearson	0	168
EGFR-2	EGFR	0.3877693527329542	HCC44	perturbation_control	pearson	0	168
EGLN1-8	EGLN1	1.7260455687146008	HCC44	perturbation_control	pearson	0	168
EGLN1-9	EGLN1	1.6191641849950578	HCC44	perturbation_control	pearson	0	168
EMPTY	EMPTY		HCC44	perturbation_control	pearson	0	168
ERBB2-1	ERBB2	0.23490333234410243	HCC44	perturbation_control	pearson	0	168
ERBB2-2	ERBB2	0.21863041299087735	HCC44	perturbation_control	pearson	0	168
