perturbation	group	grit	cell_line	barcode_control	cor_method	random_iteration	shuffle_method	norm_method
AKT1-1	AKT1	-0.03819453354163341	ES2	cutting_control	pearson	0	independent_column	ctrl_based
AKT1-2	AKT1	-0.07121426337706793	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ARID1B-1	ARID1B	0.3330853303980945	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ARID1B-2	ARID1B	0.5607731808535084	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ATF4-1	ATF4	0.5621253520397298	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ATF4-2	ATF4	0.299415188327445	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ATP50-1	ATP50	-0.20443814362003737	ES2	cutting_control	pearson	0	independent_column	ctrl_based
ATP50-2	ATP50	-0.9287123150954719	ES2	cutting_control	pearson	0	independent_column	ctrl_based
AURKB-2	AURKB		ES2	cutting_control	pearson	0	independent_column	ctrl_based
BCL2-1	BCL2	-0.14039916504556071	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BCL2-2	BCL2	-0.27652701722192063	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BCL2L2-1	BCL2L2	0.585181307881592	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BCL2L2-2	BCL2L2	0.4349136216897581	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BCL2L2-4	BCL2L2	0.3673377655930673	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRAF-2	BRAF		ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRAF1-1	BRAF1		ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRCA1-1	BRCA1	-0.10414034112576363	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRCA1-2	BRCA1	0.12145397623441537	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRD4-1	BRD4	-0.13246824705810312	ES2	cutting_control	pearson	0	independent_column	ctrl_based
BRD4-2	BRD4	-0.40739006706850067	ES2	cutting_control	pearson	0	independent_column	ctrl_based
CCND1-1	CCND1	-0.3053659333232635	ES2	cutting_control	pearson	0	independent_column	ctrl_based
