perturbation	group	grit	cell_line	barcode_control	cor_method	query	_id	DepMap_ID	stripped_cell_line_name	ceres_score	grit_mean
ITGAV-2	ITGAV	3.899437552296839	HCC44	cutting_control	pearson	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
ITGAV-2	ITGAV	3.79557726589821	HCC44	cutting_control	spearman	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
ITGAV-1	ITGAV	3.775598422220096	HCC44	cutting_control	pearson	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
MYC-1	MYC	3.7142865165429537	ES2	perturbation_control	pearson	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
ITGAV-2	ITGAV	3.6565007359956505	HCC44	perturbation_control	pearson	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
ITGAV-1	ITGAV	3.633395513788893	HCC44	cutting_control	spearman	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
MYC-1	MYC	3.6018338112146955	ES2	perturbation_control	spearman	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
GPX4-1	GPX4	3.5513256066115355	ES2	perturbation_control	pearson	GPX4	2879	ACH-000906	ES2	-0.9358995104969748	3.038293523645991
ITGAV-2	ITGAV	3.524040165157988	HCC44	perturbation_control	spearman	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
MYC-2	MYC	3.51542018063059	ES2	perturbation_control	pearson	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
ITGAV-1	ITGAV	3.4956364362636205	HCC44	perturbation_control	pearson	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
GPX4-1	GPX4	3.4930833287139045	ES2	perturbation_control	spearman	GPX4	2879	ACH-000906	ES2	-0.9358995104969748	3.038293523645991
MYC-1	MYC	3.4585907924491552	ES2	cutting_control	pearson	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
ITGAV-2	ITGAV	3.400887037669177	A549	perturbation_control	pearson	ITGAV	3685	ACH-000681	A549	-1.0510899785936891	3.0353549533353834
MYC-2	MYC	3.3760471672855306	ES2	perturbation_control	spearman	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
ITGAV-1	ITGAV	3.3592541580049597	HCC44	perturbation_control	spearman	ITGAV	3685	ACH-000667	HCC44	-1.0766027574306514	3.642430031203282
MYC-1	MYC	3.354280403372448	ES2	cutting_control	spearman	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
ITGAV-1	ITGAV	3.3144997378001464	A549	perturbation_control	pearson	ITGAV	3685	ACH-000681	A549	-1.0510899785936891	3.0353549533353834
GPX4-2	GPX4	3.2842181657953464	ES2	perturbation_control	pearson	GPX4	2879	ACH-000906	ES2	-0.9358995104969748	3.038293523645991
ITGAV-2	ITGAV	3.2825862524648604	A549	perturbation_control	spearman	ITGAV	3685	ACH-000681	A549	-1.0510899785936891	3.0353549533353834
MYC-2	MYC	3.2641845057243577	ES2	cutting_control	pearson	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
CCND1-2	CCND1	3.2547567054256263	ES2	cutting_control	pearson	CCND1	595	ACH-000906	ES2	-1.5151696698558768	2.6885474815876425
CDK4-1	CDK4	3.2434266026164718	ES2	cutting_control	pearson	CDK4	1019	ACH-000906	ES2	-1.8743976102571192	2.8214814092091505
ITGAV-1	ITGAV	3.2240592025783266	A549	perturbation_control	spearman	ITGAV	3685	ACH-000681	A549	-1.0510899785936891	3.0353549533353834
GPX4-2	GPX4	3.1988682351194324	ES2	perturbation_control	spearman	GPX4	2879	ACH-000906	ES2	-0.9358995104969748	3.038293523645991
MAPK1-1	MAPK1	3.198469030647442	ES2	cutting_control	pearson	MAPK1	5594	ACH-000906	ES2	-0.6169204505182757	3.017418034729514
CCND1-2	CCND1	3.1873455053409288	ES2	cutting_control	spearman	CCND1	595	ACH-000906	ES2	-1.5151696698558768	2.6885474815876425
MYC-2	MYC	3.151612387960256	ES2	cutting_control	spearman	MYC	4609	ACH-000906	ES2	-1.9181118527388703	3.4295319706474983
MAPK1-2	MAPK1	3.1437391398465806	ES2	cutting_control	pearson	MAPK1	5594	ACH-000906	ES2	-0.6169204505182757	3.017418034729514
CDK4-1	CDK4	3.120052911106954	ES2	cutting_control	spearman	CDK4	1019	ACH-000906	ES2	-1.8743976102571192	2.8214814092091505
BRD4-1	BRD4	3.1029357502126858	HCC44	cutting_control	pearson	BRD4	23476	ACH-000667	HCC44	-1.2032479668455065	2.2742400222233883
ITGAV-2	ITGAV	3.075652004241959	ES2	perturbation_control	pearson	ITGAV	3685	ACH-000906	ES2	-0.2155083932266117	2.665768204905041
MAPK1-1	MAPK1	3.0755344488251395	ES2	cutting_control	spearman	MAPK1	5594	ACH-000906	ES2	-0.6169204505182757	3.017418034729514
MAPK1-2	MAPK1	3.053830428798676	ES2	cutting_control	spearman	MAPK1	5594	ACH-000906	ES2	-0.6169204505182757	3.017418034729514
PSMA1-2	PSMA1	3.0532035231380146	ES2	perturbation_control	pearson	PSMA1	5682	ACH-000906	ES2	-1.9809094559957527	2.68364503081644
RHOA-1	RHOA	3.044648405132972	HCC44	cutting_control	pearson	RHOA	387	ACH-000667	HCC44	-0.2873014631135635	2.679640793443241
PSMA1-2	PSMA1	3.032675504880681	ES2	perturbation_control	spearman	PSMA1	5682	ACH-000906	ES2	-1.9809094559957527	2.68364503081644
RHOA-2	RHOA	3.0228624002547075	ES2	perturbation_control	pearson	RHOA	387	ACH-000906	ES2	-0.7269088889124986	2.6058586595336055
